#Path, Setup Margin, Hold Margin
"Address Command (Fast 1200mV 0C Model)",4.229,1.493
"DQS vs CK (Fast 1200mV 0C Model)",1.857,1.840
"Half Rate Address/Command (Fast 1200mV 0C Model)",11.745,1.490
"Mimic (Fast 1200mV 0C Model)",1.512,
"Phy (Fast 1200mV 0C Model)",1.512,0.161
"Phy Reset (Fast 1200mV 0C Model)",3.875,0.490
"Read Capture (All Conditions)",0.460,0.509
"Write (All Conditions)",0.709,0.889
